update,mean_loss,lr
111,0.17270913731772453,1.1440329218106997e-05
112,0.0878164618043229,1.1358024691358025e-05
113,0.8755129989876878,1.1275720164609055e-05
114,0.005375585271394812,1.1193415637860083e-05
115,0.13133371307048947,1.1111111111111113e-05
116,0.012705377812380902,1.1028806584362142e-05
117,0.005131065787281841,1.0946502057613168e-05
118,0.14307086283224635,1.0864197530864198e-05
119,0.6366273062303662,1.0781893004115227e-05
120,0.0022118318047432695,1.0699588477366257e-05
121,0.008621180793852545,1.0617283950617285e-05
122,0.13878148220828734,1.0534979423868315e-05
123,0.11897293064976111,1.0452674897119342e-05
124,0.028281059785513207,1.037037037037037e-05
125,0.07002543192356825,1.02880658436214e-05
126,0.5661586202913895,1.0205761316872428e-05
127,0.0023840505455154926,1.0123456790123458e-05
128,0.006581943584023975,1.0041152263374487e-05
129,0.0035215198731748387,9.958847736625515e-06
130,0.013607793749542907,9.876543209876543e-06
131,0.019383232691325247,9.794238683127573e-06
132,0.005856507661519572,9.711934156378602e-06
133,0.008258366084191948,9.62962962962963e-06
134,0.019496397901093587,9.547325102880658e-06
135,0.3576462909550173,9.465020576131688e-06
136,0.006047410948667675,9.382716049382717e-06
137,0.003900873205566313,9.300411522633745e-06
138,0.4325946817989461,9.218106995884775e-06
139,0.1653249665396288,9.135802469135803e-06
140,0.07268589164596051,9.053497942386832e-06
141,0.047449746052734554,8.971193415637862e-06
142,0.02466480014845729,8.888888888888888e-06
143,0.01901428756536916,8.806584362139918e-06
144,0.1015802250476554,8.724279835390947e-06
145,0.13381400209618732,8.641975308641975e-06
146,0.009859680139925331,8.559670781893005e-06
147,0.026965890516294166,8.477366255144033e-06
148,0.021299268177244812,8.395061728395062e-06
149,0.225114661938278,8.312757201646092e-06
150,0.0785097954358207,8.23045267489712e-06
151,0.06698754383251071,8.148148148148148e-06
152,0.014069395692786202,8.065843621399178e-06
153,0.13242952979635447,7.983539094650207e-06
154,0.5045248016249388,7.901234567901235e-06
155,0.007841365862987004,7.818930041152263e-06
156,0.2205597355059581,7.736625514403293e-06
157,0.0033091114019043744,7.654320987654322e-06
158,0.17852070892695338,7.57201646090535e-06
159,0.0025989596906583756,7.489711934156379e-06
160,0.255523536587134,7.4074074074074075e-06
161,0.011604175437241793,7.325102880658437e-06
162,0.3375584438908845,7.242798353909466e-06
163,0.11936008871998638,7.160493827160494e-06
164,0.18834368558600545,7.078189300411523e-06
165,0.0033465593587607145,6.9958847736625525e-06
166,0.005040467483922839,6.913580246913581e-06
167,0.08711466962995473,6.83127572016461e-06
168,0.01638467017619405,6.748971193415639e-06
169,0.020794538431800902,6.666666666666667e-06
170,0.37708036677213386,6.584362139917696e-06
171,0.005269787274301052,6.502057613168725e-06
172,0.013772719183180016,6.419753086419753e-06
173,0.08335619943682104,6.3374485596707825e-06
174,0.03849080446525477,6.255144032921812e-06
175,0.026540648948866874,6.17283950617284e-06
176,0.025033999932929873,6.090534979423869e-06
177,0.05109272073605098,6.008230452674898e-06
178,0.006522112627862953,5.925925925925926e-06
179,0.01602728822035715,5.843621399176955e-06
180,0.014084906957577914,5.761316872427984e-06
181,0.012294364772969857,5.6790123456790125e-06
182,0.20308664970798418,5.596707818930042e-06
183,0.012387953058350831,5.514403292181071e-06
184,0.025569283388904296,5.432098765432099e-06
185,0.4709595701424405,5.349794238683128e-06
186,0.06028761401830707,5.2674897119341575e-06
187,0.02654372062534094,5.185185185185185e-06
188,0.10061038225103403,5.102880658436214e-06
189,0.06865587098218384,5.020576131687243e-06
190,0.16926608557696454,4.938271604938272e-06
191,0.005333030567271635,4.855967078189301e-06
192,0.1765291748670279,4.773662551440329e-06
193,0.2462299887483823,4.691358024691358e-06
194,0.017453956228564493,4.6090534979423875e-06
195,0.1329903655569069,4.526748971193416e-06
196,0.11363685999822337,4.444444444444444e-06
197,0.048231775501335505,4.362139917695473e-06
198,0.002779250185994897,4.2798353909465025e-06
199,0.002535346240620129,4.197530864197531e-06
200,0.004984913619409781,4.11522633744856e-06
201,0.013828017807099968,4.032921810699589e-06
202,0.01107476741890423,3.9506172839506175e-06
203,0.00374569914129097,3.868312757201647e-06
204,0.01716040562314447,3.786008230452675e-06
205,0.004615762110915966,3.7037037037037037e-06
206,0.0031358356354758143,3.621399176954733e-06
207,0.002529159712139517,3.5390946502057617e-06
208,0.025951099290978163,3.4567901234567904e-06
209,0.0032604907755739987,3.3744855967078196e-06
210,0.06132665285258554,3.292181069958848e-06
211,0.0033061610884033144,3.2098765432098767e-06
212,0.02405060053570196,3.127572016460906e-06
213,0.004426619139849208,3.0452674897119346e-06
214,0.0016525701430509798,2.962962962962963e-06
215,0.0032734637934481725,2.880658436213992e-06
216,0.20808226428198395,2.798353909465021e-06
217,0.11360141105251387,2.7160493827160496e-06
218,0.3040663100036909,2.6337448559670788e-06
219,0.027828649050206877,2.551440329218107e-06
220,0.22706515446770936,2.469135802469136e-06
221,0.0012317057116888463,2.3868312757201646e-06
222,0.22758743190206587,2.3045267489711937e-06
223,0.13682335823978065,2.222222222222222e-06
224,0.43839413061505184,2.1399176954732512e-06
225,0.001070002224878408,2.05761316872428e-06
226,0.1062267951638205,1.9753086419753087e-06
227,0.20637693908065557,1.8930041152263375e-06
228,0.31741897636675276,1.8106995884773665e-06
229,0.15239977951569017,1.7283950617283952e-06
230,0.3928146058751736,1.646090534979424e-06
231,0.005089787926408462,1.563786008230453e-06
232,0.022796812641900033,1.4814814814814815e-06
