resolution,pixel_budget,status,n,correct_n,accuracy,parse_failure_rate,fallback_usage_rate,seconds,seconds_per_sample,peak_allocated_gib,peak_reserved_gib,checkpoint,train_pixel_budget,inference_pixel_budget,warmup_samples,timing,accuracy_pct,parse_failure_pct,gain,loss,delta_pp,result_directory
384,147456,completed,500,417,0.834,0.0,0.0,287.7993164999989,0.5755986329999978,7.6016011238098145,11.333984375,C:\Users\SSAFY\Desktop\AI2_Challenge\output\TASK-006\TASK006-8f2c71505c11284c\train_20260922_115654_f6f6586f\adapter_epoch1,147456,147456,1,"validation loop only, excludes load/warmup",83.39999999999999,0.0,0,0,0.0,C:\Users\SSAFY\Desktop\AI2_Challenge\output\TASK-006-resolution\RES5-64d6ac7377998c2b\res_384_20260922_132935_0d7adfd0
448,200704,completed,500,436,0.872,0.0,0.0,302.8615172000009,0.6057230344000017,7.611739635467529,11.333984375,C:\Users\SSAFY\Desktop\AI2_Challenge\output\TASK-006\TASK006-8f2c71505c11284c\train_20260922_115654_f6f6586f\adapter_epoch1,147456,200704,1,"validation loop only, excludes load/warmup",87.2,0.0,31,12,3.8000000000000034,C:\Users\SSAFY\Desktop\AI2_Challenge\output\TASK-006-resolution\RES5-64d6ac7377998c2b\res_448_20260922_133449_ee687a08
560,313600,completed,500,446,0.892,0.0,0.0,352.54796929999975,0.7050959385999995,7.632115840911865,11.3359375,C:\Users\SSAFY\Desktop\AI2_Challenge\output\TASK-006\TASK006-8f2c71505c11284c\train_20260922_115654_f6f6586f\adapter_epoch1,147456,313600,1,"validation loop only, excludes load/warmup",89.2,0.0,39,10,5.800000000000005,C:\Users\SSAFY\Desktop\AI2_Challenge\output\TASK-006-resolution\RES5-64d6ac7377998c2b\res_560_20260922_134018_0371e6a4
672,451584,completed,500,466,0.932,0.0,0.0,484.3300085999999,0.9686600171999998,7.652091026306152,11.333984375,C:\Users\SSAFY\Desktop\AI2_Challenge\output\TASK-006\TASK006-8f2c71505c11284c\train_20260922_115654_f6f6586f\adapter_epoch1,147456,451584,1,"validation loop only, excludes load/warmup",93.2,0.0,55,6,9.800000000000008,C:\Users\SSAFY\Desktop\AI2_Challenge\output\TASK-006-resolution\RES5-64d6ac7377998c2b\res_672_20260922_134637_4f2acb4b
784,614656,completed,500,466,0.932,0.0,0.0,604.689332599999,1.209378665199998,7.702007293701172,11.333984375,C:\Users\SSAFY\Desktop\AI2_Challenge\output\TASK-006\TASK006-8f2c71505c11284c\train_20260922_115654_f6f6586f\adapter_epoch1,147456,614656,1,"validation loop only, excludes load/warmup",93.2,0.0,56,7,9.800000000000008,C:\Users\SSAFY\Desktop\AI2_Challenge\output\TASK-006-resolution\RES5-64d6ac7377998c2b\res_784_20260922_135512_3e808ce0
