loss_mode,status,train_resolution,inference_resolution,n,correct_n,accuracy,parse_failure_rate,fallback_usage_rate,seconds,seconds_per_sample,peak_allocated_gib,peak_reserved_gib,checkpoint,training_seconds,optimizer_updates,training_peak_allocated_gib,reused_baseline,warmup_samples,accuracy_pct,gain,loss,delta_pp
full_text,completed,640,672,500,459,0.918,0.0,0.0,391.80587659999946,0.783611753199999,7.652091026306152,11.333984375,C:\Users\SSAFY\Desktop\AI2_Challenge\output\TASK-006-loss\LOSS-51ca09225d304a9a\train_full_text_20260922_143828_bff2578f\adapter_epoch1,2532.541632700002,250,9.904252529144287,False,1,91.8,,,
answer_only,completed,640,672,500,470,0.94,0.0,0.0,441.3415815999979,0.8826831631999957,7.652091026306152,11.333984375,C:\Users\SSAFY\Desktop\AI2_Challenge\output\TASK-006-loss\LOSS-51ca09225d304a9a\train_answer_only_20260922_152814_5e73bca1\adapter_epoch1,2658.9190267000013,250,9.904252529144287,False,1,94.0,16.0,5.0,2.199999999999991
