condition,learning_rate,status,loss_mode,prompt,train_resolution,inference_resolution,train_status,training_seconds,n,correct_n,accuracy,parse_failure_rate,fallback_usage_rate,seconds,seconds_per_sample,peak_allocated_gib,peak_reserved_gib,checkpoint,optimizer_updates,training_peak_allocated_gib,reused_baseline,warmup_samples,accuracy_pct,parse_failure_pct,gain,loss,delta_pp
lr_1e-4,0.0001,completed,answer_only,P5,640,672,completed,2729.790753700003,500,470,0.94,0.0,0.0,432.9708047000022,0.8659416094000044,7.68745756149292,11.333984375,C:\Users\SSAFY\Desktop\AI2_Challenge\output\TASK-006-lr\LR-6007c4ee02657be3\train_lr_1e-4_20260922_180742_556c7955\adapter_epoch1,250,10.389219760894775,False,1,94.0,0.0,0,0,0.0
lr_2e-5,2e-05,completed,answer_only,P5,640,672,completed,2747.532490000005,500,468,0.936,0.0,0.0,431.70820110000204,0.863416402200004,7.68745756149292,11.333984375,C:\Users\SSAFY\Desktop\AI2_Challenge\output\TASK-006-lr\LR-6007c4ee02657be3\train_lr_2e-5_20260922_190132_80cd0dc9\adapter_epoch1,250,10.389219760894775,False,1,93.60000000000001,0.0,4,6,-0.39999999999998925
lr_5e-5,5e-05,completed,answer_only,P5,640,672,completed,2727.4052515000003,500,469,0.938,0.0,0.0,431.4268491000039,0.8628536982000078,7.68745756149292,11.333984375,C:\Users\SSAFY\Desktop\AI2_Challenge\output\TASK-006-lr\LR-6007c4ee02657be3\train_lr_5e-5_20260922_195544_73412474\adapter_epoch1,250,10.389219760894775,False,1,93.8,0.0,4,5,-0.20000000000000018
