update,mean_loss,lr
1,0.018504057079553604,7.142857142857143e-06
2,0.011715050437487662,1.4285714285714285e-05
3,0.011482031375635415,2.1428571428571428e-05
4,0.4346914483467117,2.857142857142857e-05
5,0.012088222079910338,3.571428571428572e-05
6,0.08445209864294156,4.2857142857142856e-05
7,0.004382390703540295,5e-05
8,0.37105893762782216,4.9794238683127575e-05
9,0.0025119914498645812,4.958847736625515e-05
10,0.06076252744242083,4.938271604938271e-05
11,0.11966524238232523,4.9176954732510286e-05
12,0.1573883421951905,4.8971193415637865e-05
13,0.010052287660073489,4.876543209876544e-05
14,0.005751754986704327,4.855967078189301e-05
15,0.07051213021622971,4.835390946502058e-05
16,0.3555978642543778,4.814814814814815e-05
17,0.0018156892474507913,4.794238683127572e-05
18,0.2006768889259547,4.773662551440329e-05
19,0.003283016529167071,4.7530864197530866e-05
20,0.0060564978630281985,4.732510288065844e-05
21,0.26475429329730105,4.711934156378601e-05
22,0.3947416014998453,4.691358024691358e-05
23,0.006479822070105001,4.6707818930041156e-05
24,0.26395880535710603,4.650205761316873e-05
25,0.19992023753002286,4.62962962962963e-05
26,0.011078476905822754,4.609053497942387e-05
27,0.005378813104471192,4.5884773662551446e-05
28,0.37957232631742954,4.567901234567901e-05
29,0.018469256232492626,4.5473251028806584e-05
30,0.04701617045793682,4.5267489711934157e-05
31,0.013651810586452484,4.506172839506173e-05
32,0.02738127956399694,4.48559670781893e-05
33,0.009651764485170133,4.4650205761316874e-05
34,0.001972311903955415,4.4444444444444447e-05
35,0.012007980840280652,4.423868312757202e-05
36,0.026556539203738794,4.403292181069959e-05
37,0.006217433488927782,4.3827160493827164e-05
38,0.44834468988119625,4.3621399176954737e-05
39,0.8637526979582617,4.341563786008231e-05
40,0.005730913020670414,4.3209876543209875e-05
41,0.016233428148552775,4.300411522633745e-05
42,0.013184942363295704,4.279835390946502e-05
43,0.009299611439928412,4.259259259259259e-05
44,0.2467659543035552,4.2386831275720165e-05
45,0.017767401004675776,4.2181069958847744e-05
46,0.012010617123451084,4.197530864197531e-05
47,0.09580277709756047,4.176954732510288e-05
48,0.009705165794002824,4.1563786008230455e-05
