condition,train_n,n,correct_n,accuracy,parse_failure_rate,fallback_usage_rate,seconds,seconds_per_sample,peak_allocated_gib,peak_reserved_gib,train_resolution,loss_mode,learning_rate,prompt,inference_resolution,checkpoint,training_seconds,optimizer_updates,training_peak_allocated_gib,reused_baseline,warmup_samples,accuracy_pct,gain,loss,delta_pp
previous_1000,1000,500,470,0.94,0.0,0.0,432.9708047000022,0.8659416094000044,7.68745756149292,11.333984375,640.0,answer_only,0.0001,P5,672.0,C:\Users\SSAFY\Desktop\AI2_Challenge\output\TASK-006-lr\LR-6007c4ee02657be3\train_lr_1e-4_20260922_180742_556c7955\adapter_epoch1,2729.790753700003,250,10.389219760894775,False,1.0,94.0,,,
all_eligible,5214,500,471,0.942,0.0,0.0,420.3979655000021,0.8407959310000042,7.68745756149292,11.333984375,,,,,,,14242.6170141,1304,,,,94.19999999999999,8.0,7.0,0.20000000000000018
