prompt,title,status,n,correct_n,accuracy,parse_failure_rate,fallback_usage_rate,seconds,seconds_per_sample,peak_allocated_gib,peak_reserved_gib,checkpoint,train_resolution,inference_resolution,loss_mode,warmup_samples,first_input_tokens,accuracy_pct,parse_failure_pct,gain,loss,delta_pp
P0,기존 baseline,completed,500,470,0.94,0.0,0.0,390.937610500001,0.7818752210000021,7.652091026306152,11.333984375,C:\Users\SSAFY\Desktop\AI2_Challenge\output\TASK-006-loss\LOSS-51ca09225d304a9a\train_answer_only_20260922_152814_5e73bca1\adapter_epoch1,640,672,answer_only,1,544,94.0,0.0,0,0,0.0
P1,이미지 근거,completed,500,469,0.938,0.0,0.0,403.6103586999998,0.8072207173999996,7.657505035400391,11.333984375,C:\Users\SSAFY\Desktop\AI2_Challenge\output\TASK-006-loss\LOSS-51ca09225d304a9a\train_answer_only_20260922_152814_5e73bca1\adapter_epoch1,640,672,answer_only,1,593,93.8,0.0,2,3,-0.20000000000000018
P2,문자·숫자 정밀 확인,completed,500,470,0.94,0.0,0.0,406.72158240000135,0.8134431648000027,7.657505035400391,11.333984375,C:\Users\SSAFY\Desktop\AI2_Challenge\output\TASK-006-loss\LOSS-51ca09225d304a9a\train_answer_only_20260922_152814_5e73bca1\adapter_epoch1,640,672,answer_only,1,593,94.0,0.0,3,3,0.0
P3,질문 조건·위치 관계,completed,500,469,0.938,0.0,0.0,410.0295210000004,0.8200590420000008,7.66533088684082,11.333984375,C:\Users\SSAFY\Desktop\AI2_Challenge\output\TASK-006-loss\LOSS-51ca09225d304a9a\train_answer_only_20260922_152814_5e73bca1\adapter_epoch1,640,672,answer_only,1,619,93.8,0.0,1,2,-0.20000000000000018
P4,선지 대조,completed,500,467,0.934,0.0,0.0,432.3947154999987,0.8647894309999974,7.660492420196533,11.333984375,C:\Users\SSAFY\Desktop\AI2_Challenge\output\TASK-006-loss\LOSS-51ca09225d304a9a\train_answer_only_20260922_152814_5e73bca1\adapter_epoch1,640,672,answer_only,1,603,93.4,0.0,0,3,-0.5999999999999894
P5,큰 글자에서 작은 글자로 확인,completed,500,471,0.942,0.0,0.0,500.6654849000006,1.0013309698000012,7.68745756149292,11.333984375,C:\Users\SSAFY\Desktop\AI2_Challenge\output\TASK-006-loss\LOSS-51ca09225d304a9a\train_answer_only_20260922_152814_5e73bca1\adapter_epoch1,640,672,answer_only,1,682,94.19999999999999,0.0,2,1,0.20000000000000018
