update,mean_loss,lr
234,0.11136489920318127,6.584362139917697e-06
235,0.12994999065995216,6.172839506172839e-06
236,0.1260603852570057,5.761316872427984e-06
237,0.10557172447443008,5.3497942386831275e-06
238,0.10002187266945839,4.938271604938272e-06
239,0.11393793113529682,4.526748971193416e-06
240,0.08662205096334219,4.11522633744856e-06
241,0.1427125222980976,3.7037037037037037e-06
242,0.12213116232305765,3.2921810699588483e-06
243,0.14869048446416855,2.880658436213992e-06
244,0.082186134532094,2.469135802469136e-06
245,0.06943247653543949,2.05761316872428e-06
246,0.0922574158757925,1.6460905349794242e-06
247,0.0904321251437068,1.234567901234568e-06
248,0.09839820675551891,8.230452674897121e-07
249,0.10225813463330269,4.1152263374485604e-07
250,0.11241224221885204,0.0
