update,mean_loss,lr
1,0.026429032091982663,2.564102564102564e-06
2,0.013097778777591884,5.128205128205128e-06
3,0.11928024559165351,7.692307692307694e-06
4,0.08034631097689271,1.0256410256410256e-05
5,0.7038173660985194,1.282051282051282e-05
6,0.08264378283638507,1.5384615384615387e-05
7,0.005378831905545667,1.794871794871795e-05
8,0.16676578274928033,2.0512820512820512e-05
9,0.008709475481737172,2.307692307692308e-05
10,0.033710691204760224,2.564102564102564e-05
11,0.09214741445612162,2.8205128205128207e-05
12,0.005536908283829689,3.0769230769230774e-05
13,0.10575908893952146,3.3333333333333335e-05
14,0.004703991755377501,3.58974358974359e-05
15,0.0018596163063193671,3.846153846153846e-05
16,0.0012864783420809545,4.1025641025641023e-05
17,0.012730453354379279,4.358974358974359e-05
18,0.032667233695974573,4.615384615384616e-05
19,0.689306472952012,4.871794871794872e-05
20,0.00010586543248791713,5.128205128205128e-05
21,0.21837917999073397,5.384615384615385e-05
22,0.0017536056184326299,5.6410256410256414e-05
23,0.02573204912187066,5.897435897435898e-05
24,0.006225078359420877,6.153846153846155e-05
25,0.007143908936996013,6.410256410256412e-05
26,0.0013885695370845497,6.666666666666667e-05
27,0.02615937910741195,6.923076923076924e-05
28,0.035047197714447975,7.17948717948718e-05
29,0.014265156351029873,7.435897435897436e-05
30,0.12735376111231744,7.692307692307693e-05
31,0.011038155207643285,7.948717948717948e-05
32,0.28152653633151203,8.205128205128205e-05
33,0.001232690512551926,8.461538461538461e-05
34,0.03616335880360566,8.717948717948718e-05
35,0.009955022353096865,8.974358974358975e-05
36,0.08607338527508546,9.230769230769232e-05
37,0.0003863418096443638,9.487179487179487e-05
38,0.007126804965082556,9.743589743589744e-05
39,0.02188771953660762,0.0001
40,0.5715349551319377,9.992094861660079e-05
41,0.017992002911341842,9.984189723320159e-05
42,0.029155692158383317,9.976284584980238e-05
43,0.08252866977272788,9.968379446640317e-05
44,0.5496471602800739,9.960474308300396e-05
45,0.0016385885901399888,9.952569169960475e-05
46,0.680273085279623,9.944664031620554e-05
47,0.07877147138788132,9.936758893280633e-05
48,0.18373974750284106,9.928853754940713e-05
49,0.019697762676514685,9.920948616600791e-05
50,0.011105078578111716,9.91304347826087e-05
51,0.037303454242646694,9.90513833992095e-05
52,0.1904815583038726,9.897233201581027e-05
53,0.10923127838759683,9.889328063241107e-05
54,0.03056876827031374,9.881422924901186e-05
55,0.1795994248968782,9.873517786561266e-05
56,0.18908527918392792,9.865612648221344e-05
57,0.059408410685136914,9.857707509881423e-05
58,0.008739883720409125,9.849802371541503e-05
59,0.0023649821159779094,9.841897233201581e-05
60,0.009953750733984634,9.833992094861661e-05
61,0.0007346967468038201,9.82608695652174e-05
62,0.07100074879417662,9.818181818181818e-05
63,0.0007709469573455863,9.810276679841898e-05
64,0.5767852349927125,9.802371541501977e-05
65,0.015597841949784197,9.794466403162055e-05
66,0.14575323331882828,9.786561264822135e-05
67,0.18562617471252452,9.778656126482214e-05
68,0.11849471059395,9.770750988142294e-05
69,0.0002021308828261681,9.762845849802372e-05
70,0.006887825629746658,9.754940711462451e-05
71,0.0003498118858260568,9.74703557312253e-05
72,0.6569410534575582,9.739130434782609e-05
73,0.008388024070882238,9.731225296442689e-05
74,0.007242397325171623,9.723320158102768e-05
75,0.030773721882724203,9.715415019762846e-05
76,0.15038338922022376,9.707509881422925e-05
77,0.688543945812853,9.699604743083003e-05
78,0.020473477121413453,9.691699604743083e-05
79,0.017222153051989153,9.683794466403162e-05
80,0.04801738262176514,9.675889328063242e-05
81,0.11077923834818648,9.66798418972332e-05
82,0.1753996334009571,9.660079051383399e-05
83,0.008071731077507138,9.652173913043479e-05
84,0.012463535997085273,9.644268774703557e-05
85,0.0011342444449837785,9.636363636363637e-05
86,0.3114368585384,9.628458498023716e-05
87,0.003017116690898547,9.620553359683794e-05
88,0.7858964044135064,9.612648221343874e-05
89,0.04247537154878955,9.604743083003953e-05
90,0.0649312631576322,9.596837944664033e-05
91,0.013266738969832659,9.588932806324111e-05
92,0.5040690748719499,9.58102766798419e-05
93,0.010615852108458057,9.57312252964427e-05
94,0.21753157603234285,9.565217391304348e-05
95,0.006186772137880325,9.557312252964428e-05
96,0.02311106794513762,9.549407114624507e-05
97,0.0216403357044328,9.541501976284585e-05
98,0.011427149409428239,9.533596837944665e-05
99,0.013769310302450322,9.525691699604744e-05
100,0.007645555655471981,9.517786561264822e-05
101,0.004057362559251487,9.509881422924901e-05
102,0.2534487787343096,9.501976284584981e-05
103,0.004936582889058627,9.49407114624506e-05
104,0.005597163271886529,9.486166007905138e-05
105,0.031366076291305944,9.478260869565218e-05
106,0.0037288306120899506,9.470355731225296e-05
107,0.0013143648857294465,9.462450592885376e-05
108,0.13825462628301466,9.454545454545455e-05
109,0.20420241778629133,9.446640316205534e-05
110,0.0025923146204149816,9.438735177865613e-05
